,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
0,stations,{'all': 0},200,"{'lon': 147.06, 'lat': -42.78}",1535207400.0,2155415.0,"{'temp': 48.2, 'pressure': 1012, 'humidity': 70, 'temp_min': 48.2, 'temp_max': 48.2}",,New Norfolk,,"{'type': 1, 'id': 8195, 'message': 0.0038, 'country': 'AU', 'sunrise': 1535143763, 'sunset': 1535182730}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.93, 'deg': 10}"
1,stations,{'all': 90},200,"{'lon': -52.73, 'lat': 47.66}",1535205600.0,6167817.0,"{'temp': 69.8, 'pressure': 1025, 'humidity': 68, 'temp_min': 69.8, 'temp_max': 69.8}",,Torbay,,"{'type': 1, 'id': 3467, 'message': 0.0039, 'country': 'CA', 'sunrise': 1535186446, 'sunset': 1535235836}",24140.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]","{'speed': 16.11, 'deg': 260}"
2,stations,{'all': 20},200,"{'lon': -175.2, 'lat': -21.2}",1535205600.0,4032243.0,"{'temp': 60.8, 'pressure': 1016, 'humidity': 87, 'temp_min': 60.8, 'temp_max': 60.8}",,Vaini,,"{'type': 1, 'id': 8323, 'message': 0.0237, 'country': 'TO', 'sunrise': 1535219718, 'sunset': 1535261409}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.36, 'deg': 160}"
3,stations,{'all': 0},200,"{'lon': 102.47, 'lat': 71.98}",1535208620.0,2022572.0,"{'temp': 52.82, 'pressure': 1023.36, 'humidity': 67, 'temp_min': 52.82, 'temp_max': 52.82, 'sea_level': 1027.92, 'grnd_level': 1023.36}",,Khatanga,,"{'message': 0.0027, 'country': 'RU', 'sunrise': 1535143004, 'sunset': 1535204610}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 10.09, 'deg': 148.504}"
4,stations,{'all': 0},200,"{'lon': -109.02, 'lat': 26.44}",1535208620.0,4017764.0,"{'temp': 85.04, 'pressure': 1020.44, 'humidity': 82, 'temp_min': 85.04, 'temp_max': 85.04, 'sea_level': 1024.8, 'grnd_level': 1020.44}",,Anahuac,,"{'message': 0.0037, 'country': 'MX', 'sunrise': 1535201589, 'sunset': 1535247738}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.49, 'deg': 92.5044}"
5,stations,{'all': 75},200,"{'lon': 137.08, 'lat': 36.58}",1535205600.0,1849876.0,"{'temp': 82.4, 'pressure': 1012, 'humidity': 83, 'temp_min': 82.4, 'temp_max': 82.4}",,Yamada,,"{'type': 1, 'id': 7567, 'message': 0.003, 'country': 'JP', 'sunrise': 1535141839, 'sunset': 1535189371}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 8.05, 'deg': 240}"
7,stations,{'all': 0},200,"{'lon': 113.63, 'lat': -24.87}",1535208620.0,2074865.0,"{'temp': 63.08, 'pressure': 1029.68, 'humidity': 95, 'temp_min': 63.08, 'temp_max': 63.08, 'sea_level': 1031.08, 'grnd_level': 1029.68}",,Carnarvon,,"{'message': 0.0029, 'country': 'AU', 'sunrise': 1535150629, 'sunset': 1535191889}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 7.96, 'deg': 182.004}"
8,stations,{'all': 80},200,"{'lon': 73.08, 'lat': -0.6}",1535208327.0,1282256.0,"{'temp': 81.26, 'pressure': 1024.66, 'humidity': 100, 'temp_min': 81.26, 'temp_max': 81.26, 'sea_level': 1024.68, 'grnd_level': 1024.66}",,Hithadhoo,{'3h': 0.2475},"{'message': 0.0033, 'country': 'MV', 'sunrise': 1535159208, 'sunset': 1535202752}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.16, 'deg': 221.504}"
9,stations,{'all': 75},200,"{'lon': -90.35, 'lat': -0.74}",1535205600.0,3652764.0,"{'temp': 73.4, 'pressure': 1014, 'humidity': 69, 'temp_min': 73.4, 'temp_max': 73.4}",,Puerto Ayora,,"{'type': 1, 'id': 4355, 'message': 0.0278, 'country': 'EC', 'sunrise': 1535198429, 'sunset': 1535241962}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 10.29, 'deg': 150}"
10,stations,{'all': 75},200,"{'lon': 18.42, 'lat': -33.93}",1535205600.0,3369157.0,"{'temp': 57.2, 'pressure': 1009, 'humidity': 82, 'temp_min': 57.2, 'temp_max': 57.2}",,Cape Town,,"{'type': 1, 'id': 6529, 'message': 0.0048, 'country': 'ZA', 'sunrise': 1535173982, 'sunset': 1535214237}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 34.45, 'deg': 350}"
